variable,label,Wave1,Wave2,Wave3,Wave4,Wave5,Wave6
q70,q70. Got together with others to raise an issue or sign a petition,,,✓,,,
q70,70  Contacted officials at higher level-3 categories.,,,,✓,,
q70,"70 In the past three years, have you ever contacted elected officials or legislative representatives at any level",,,,,✓,
q70,"70  Contacted other influential people outside the government, such as traditional leaders/community leaders",,,,,,✓
q70a,70a  Contacted officials at higher level--4 categories.,,,,✓,,
q71,Conflict among political groups is not a bad thing for our country,,✓,,,,
q71,q71. Attended a demonstration or protest march,,,✓,,,
q71,71 Contacted traditional leaders/community leaders-3 categories,,,,✓,,
q71,71 Contacted civil servants or officials,,,,,✓,
q71,71  Contacted news media,,,,,,✓
q71a,71a Contacted traditional leaders/community leaders-4 categories,,,,✓,,
q72,"If a government policy serves the interests of the majority of people, I should support it",,✓,,,,
q72,q72. Used force or violence for a political cause,,,✓,,,
q72,72  Contacted other influential people outside the government-3 categories.,,,,✓,,
q72,"72 Contacted other influential people outside the government, such as traditional leaders/community leaders.",,,,,✓,
q72,72  Signed a paper or online petition?,,,,,,✓
q72a,72a  Contacted other influential people outside the government-4 categories.,,,,✓,,
q73,The best way to deal with complicated political issues should be to leave them to the future,,✓,,,,
q73,"q73. Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself -have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?",,,✓,,,
q73,73  Contacted news media-3 categories,,,,✓,,
q73,73 Contacted news media,,,,,✓,
q73,73  Used the Internet including Social Media Networks to express opinions about politics,,,,,,✓
q73a,73a  Contacted news media-4 categories,,,,✓,,
q74,Political reform should be introduced little-by-little instead of all-at-once,,✓,,,,
q74,"q74. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",,,✓,,,
q74,74 Whether you personally have ever got together with others to try to resolve local problems-3 categories,,,,✓,,
q74,74 Signed a paper petition,,,,,✓,
q74,74  Joined a group to activiely support a cause [including online],,,,,,✓
q74a,q74a. Do you strongly agree or just agree with the chosen statement?,,,✓,,,
q74a,74a Whether you personally have ever got together with others to try to resolve local problems-4 categories,,,,✓,,
q75,Cruel criminals should be punished immediately without regard to time-consuming legal processes,,✓,,,,
q75,"q75. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",,,✓,,,
q75,75 Got together with others to raise an issue or sign a petition-3 categories,,,,✓,,
q75,75 Signed an online petition,,,,,✓,
q75,75  Got together with others face-to face to try to resolve local problems,,,,,,✓
q75a,q75a. Do you strongly agree or just agree with the chosen statement?,,,✓,,,
q75a,75a Got together with others to raise an issue or sign a petition-4 categories,,,,✓,,
q76,"For the sake of the national community/society, the individual should be prepared to sacrifice",,✓,,,,
q76,"q76. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",,,✓,,,
q76,76 Attended a demonstration or protest march-3 categories,,,,✓,,
q76,76 Used the internet including social media networks to express opinions about politics and government,,,,,✓,
q76,76  Attended a demonstration or protest march,,,,,,✓
q76a,q76a. Do you strongly agree or just agree with the chosen statement?,,,✓,,,
q76a,76a Attended a demonstration or protest march-4 categories,,,,✓,,
q77,The most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure,,✓,,,,
q77,"q77. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",,,✓,,,
q77,77 Used force or violence for a political cause-3 categories,,,,✓,,
q77,77 Joined a group to actively support a cause(including online),,,,,✓,
q77,77  Taken an action or done something for a political cause that put you in risk of getting injured,,,,,,✓
q77a,q77a. Do you strongly agree or just agree with the chosen statement?,,,✓,,,
q77a,77a Used force or violence for a political cause-4 categories,,,,✓,,
q78,"If possible, I don't want to get involved in political matters",,✓,,,,
q78,"q78. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",,,✓,,,
q78,"78 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself?",,,,✓,,
q78,78 Got together with others face-to-face to try to resolve local problems,,,,,✓,
q78,"78 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?",,,,,,✓
q78a,q78a. Do you strongly agree or just agree with the chosen statement?,,,✓,,,
q79,Contacted government (administrative) official,,✓,,,,
q79,"q79. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",,,✓,,,
q79,79. Which of the following statements do you agree with most?,,,,✓,,
q79,79 Attended a demonstration or protest march,,,,,✓,
q79,"79 In recent years and thinking about election campaigns, has a candidate or someone from a political party or campaign team offered you something, like food, cash, a gift, or a job in return for your vote or support?",,,,,,✓
q79a,q79a. Do you strongly agree or just agree with the chosen statement?,,,✓,,,
q79a,79a. Do you strongly agree or just agree with the chosen statement?,,,,✓,,
q8,Trust in the Courts,,✓,,,,
q8,q8. The courts,,,✓,,,
q8,8 The courts,,,,✓,✓,✓
q80,Contacted officials at higher level,,✓,,,,
q80,"q80. Over the long run, our system of government is capable of solving the problems our country faces.",,,✓,,,
q80,80. which of the following statements do you agree with most?,,,,✓,,
q80,80 Taken an action or done something for a political cause that put you in a risk of getting injured,,,,,✓,
q80,"80  Over the long run, our system of government is capable of solving the problems our country faces.",,,,,,✓
q80a,80a. Do you strongly agree or just agree with the chosen statement?,,,,✓,,
q81,Contacted elected officials or legislative representatives at any level,,✓,,,,
q81,"q81. Thinking in general, I am proud of our system of government.",,,✓,,,
q81,81. which of the following statements do you agree with most?,,,,✓,,
q81,"81 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?",,,,,✓,
q81,"81  Thinking in general, I am proud of our system of government.",,,,,,✓
q81a,81a. Do you strongly agree or just agree with the chosen statement?,,,,✓,,
q82,Contacted officials of political parties or other political organizations,,✓,,,,
q82,"q82. A system like ours, even if it runs into problems, deserves the people's support.",,,✓,,,
q82,82. which of the following statements do you agree with most?,,,,✓,,
q82,82 which of the following statements do you agree with most?government leaders vs.their citizens,,,,,✓,
q82,"82  A system like ours, even if it runs into problems, deserves the people's support.",,,,,,✓
q82a,82a. Do you strongly agree or just agree with the chosen statement?,,,,✓,,
q82a,82a Do you strongly agree or just agree with the chosen statement?,,,,,✓,
q83,Contacted representative of non-government/civil society organizations,,✓,,,,
q83,q83. I would rather live under our system of government than any other that I can think of.,,,✓,,,
q83,"83. Over the long run, our system of government is capable of solving the problems our country faces",,,,✓,,
q83,83 Which of the following statements do you agree with most? the problem of accountability,,,,,✓,
q83,83  I would rather live under our system of government than any other that I can think of.,,,,,,✓
q83a,83a Do you strongly agree or just agree with the chosen statement?,,,,,✓,
q84,Contacted traditional leaders/community leaders (IN: Mass media; TW/HK: Acquaintances in the government),,✓,,,,
q84,"q84. Compared with other systems in the world, would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",,,✓,,,
q84,"84. Thinking in general, I am proud of our system of government",,,,✓,,
q84,84 Which of the following statements do you agree with most? freedom of the press,,,,,✓,
q84,"84 Would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",,,,,,✓
q84a,84a Do you strongly agree or just agree with the chosen statement?,,,,,✓,
q85,Contacted other influential people,,✓,,,,
q85,"q85. Many things may be desirable, but not all of them are essential characteristics of democracy. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics o",,,✓,,,
q85,"85 A system like ours, even if it runs into problems, deserves the people's support",,,,✓,,
q85,85 Which of the following statements do you agree with most? political leader,,,,,✓,
q85,85 Which one would you choose as the most essential characteristics of a democracy: Set 1?,,,,,,✓
q85a,85a Do you strongly agree or just agree with the chosen statement?,,,,,✓,
q86,Refused to pay taxes or fees to the government,,✓,,,,
q86,"q86. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy?",,,✓,,,
q86,86. I would rather live under our system of government than any other that I can think of,,,,✓,,
q86,"86 Over the long run, our system of government is capable of solving the problems our country face",,,,,✓,
q86,86 Which one would you choose as the most essential characteristics of a democracy: Set 2?,,,,,,✓
q87,Got together with others to raise an issue or sign a petition,,✓,,,,
q87,"q87. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy?",,,✓,,,
q87,"87. would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",,,,✓,,
q87,"87 Thinking in general, I am proud of our system of government",,,,,✓,
q87,87 Which one would you choose as the most essential characteristics of a democracy: Set 3?,,,,,,✓
q88,Attended a demonstration or protest march,,✓,,,,
q88,"q88. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy?",,,✓,,,
q88,88  which one would you choose as the most essential characteristics of a democracy?,,,,✓,,
q88,"88 A system like ours, even if it runs into problems, deserves the people's support",,,,,✓,
q88,88 Which one would you choose as the most essential characteristics of a democracy: Set 4?,,,,,,✓
q89,Used force or violence for a political cause,,✓,,,,
q89,"q89. On the whole, how satisfied or dissatisfied are you with the way democracy works in [Country].  Are you …?",,,✓,,,
q89,89. which one would you choose as the most essential characteristics of a democracy?,,,,✓,,
q89,89 I would rather live under our system of government than any other that I can think of.,,,,,✓,
q89,"89 To you, what does “democracy” mean? (open-ended) <optional>",,,,,,✓
q9,Trust in the national government,,✓,,,,
q9,q9. The national government [in capital city],,,✓,,,
q9,9 National government in the capital city,,,,✓,✓,✓
q90,"Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted",,✓,,,,
q90,q90. In your opinion how much of a democracy is [Country Name] ?,,,✓,,,
q90,90. which one would you choose as the most essential characteristics of a democracy?,,,,✓,,
q90,"90 Would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",,,,,✓,
q90,"90 On the whole, how satisfied or dissatisfied are you with the way democracy works in the country?",,,,,,✓
q91,q91. Here is a scale: 1 means completely undemocratic and 10 means completely democratic. Where would you place our country under the present government?,,,✓,,,
q91,91. which one would you choose as the most essential characteristics of a democracy?,,,,✓,,
q91,91 The courts protects the ordinary people from the abuse of government power,,,,,✓,
q91,91 In your opinion how much of a democracy is our country?,,,,,,✓
q91_1,"To you, what does ""democracy"" mean?  What else?",,✓,,,,
q91_2,Second Response,,✓,,,,
q91_3,Third Response,,✓,,,,
q92,People often differ in their views on the characteristic that is essential to democracy. If you have to choose only one of the things,,✓,,,,
q92,q92. Where would you place our country ten years ago?,,,✓,,,
q92,"92 On the whole, how satisfied or dissatisfied are you with the way democracy works in the country?",,,,✓,,
q92,92 Politics is clean and free of corruption,,,,,✓,
q92,92 Where would you place our country under the present government?,,,,,,✓
q93,"On the whole, how satisfied or dissatisfied are you with the way democracy works in [country]?",,✓,,,,
q93,q93. Where would you want our country to be in the future?,,,✓,,,
q93,93. In your opinion how much of a democracy is the country?,,,,✓,,
q93,93 People have the freedom to take part in protests and demonstrations,,,,,✓,
q93,93 Where would you place our country ten years ago?,,,,,,✓
q94,In your opinion how much of a democracy is [country]?,,✓,,,,
q94,"q94. Here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country. If ""1"" means that democracy is completely unsuitable for [name of country] today and ""10"" means that it is completely suitable, where",,,✓,,,
q94,94 Where would you place our country under the present government?,,,,✓,,
q94,"94 When making laws, the government seek advice from religious authorities",,,,,✓,
q94,94 Where would you expect our country to be ten years from now?,,,,,,✓
q95,Where would you place our country during the period of [the name of the most recent government under authoritarian rule]?,,✓,,,,
q95,"q95. How satisfied or dissatisfied are you with the [name of president, etc. ruling current] government?  Are you …?",,,✓,,,
q95,95 Where would you place our country ten years ago?,,,,✓,,
q95,95 Political leaders rule by following their own wisdom rathan than people's preferences to ensure a society's collective welfare,,,,,✓,
q95,95 Where would you place our country today? Democracy is suitable or not,,,,,,✓
q96,Where would you place our country under the present government?,,✓,,,,
q96,"q96. In your opinion, what are the most important problems facing this country that government should address?",,,✓,,,
q96,96 Where would you expect our country to be ten years from now?,,,,✓,,
q96,96 Rule by one party that represents the interests of all classes,,,,,✓,
q96,96 How satisfied or dissatisfied are you with the current president/government?,,,,,,✓
q97,To what extent would you want our country to be democratic now?,,✓,,,,
q97,q97. How likely is it that the government will solve the most important problem you identified within the next five years? [Read out options],,,✓,,,
q97,97 Whether you think democracy is suitable for our country,,,,✓,,
q97,97 Qualified candidates are pre-selected by religious leaders,,,,,✓,
q97,97 What are the most important problems facing this country that government should address? First,,,,,,✓
q97a,97a What are the most important problems facing this country that government should address? Second,,,,,,✓
q97aother,97a. Other specify responses,,,,,,✓
q97b,97b What are the most important problems facing this country that government should address? Third,,,,,,✓
q97bother,97b. Other specify responses,,,,,,✓
q97other,97. Other specify responses,,,,,,✓
q98,Which would you think democracy is suitable for our country?,,✓,,,,
q98,"q98. Now I am going to read to you a list of statements that describe how people often feel about the state of affairs in [country name]. Please tell me whether you strongly agree, somewhat agree, somewhat disagree, or strongly disagree with each of these",,,✓,,,
q98,98 How satisfied or dissatisfied are you with the current government?,,,,✓,,
q98,"98 If you have to choose only one, which of the following you think is the most essential element of a democracy?",,,,,✓,
q98,98 How likely is it that the government will solve the most important problem you identified within the next five years?,,,,,,✓
q99,How satisfied or dissatisfied are you with the [name of present] government?,,✓,,,,
q99,q99. Political parties or candidates in our country have equal access to the mass media during the election period.,,,✓,,,
q99,99 What are the first most important problems facing this country? 1st,,,,✓,,
q99,"99 On the whole, how satisfied or dissatisfied are you with the way democracy works in our country?",,,,,✓,
q99,99 Citizens are able to remove a government they don't like through elections.,,,,,,✓
q99a,99a. What are the second most important problems facing this country? 2nd,,,,✓,,
q99b,99b. What are the third most important problems facing this country? 3rd,,,,✓,,
region,Region,,,,✓,,
relig1,Religion,✓,,,,,
se002,gender,✓,,,,,
se003,age group,✓,,,,,
se003a,actual age,✓,,,,,
se004,marital status,✓,,,,,
se004a,Marital Status(Y/N),✓,,,,,
se005,education,✓,,,,,
se005a,education by year,✓,,,,,
se005b,education(four categories),✓,,,,,
se006,religion,✓,,,,,
se007,relgiosity,✓,,,,,
se008a,n of household members,✓,,,,,
se008b,household generations,✓,,,,,
se009,annual income: national quintiles,✓,,,,,
se012a,Main Occupation,✓,,,,,
se012bcn,OCCUPATION,✓,,,,,
se012bhk,OCCUPATION(original),✓,,,,,
se012bjp,main occupation(orginal),✓,,,,,
se012bkr,Occupation(original),✓,,,,,
se012bmo,employment,✓,,,,,
se012bph,occupation (verbatim),✓,,,,,
se012bth,Primary occupation of respondent,✓,,,,,
se012btw,(Respondent has a job) What is respondent's current occupation?,✓,,,,,
se014,language,✓,,,,,
se016,ethnicity,✓,,,,,
se017,subjective social status,✓,,,,,
se10,SE10. Are you the main earner in your household?(Chief wage earner)<Optional>,,,✓,,,
se10,se10.  Are you the main earner in your household?,,,,✓,,
se10_1,SE10_1. Is the main earner in your household currently employed?,,,✓,,,
se10_1,se10_1 Is the main earner in your household currently employed?,,,,✓,,
se10a,SE 10.1 Car/Jeep/Van,,✓,,,,
se10a,"SE10a. Is he or she currently self-employed (including business owners), working in a family business, or working for an outsid",,,✓,,,
se10a,"se10a Is he or she curently self-employed, working in family business or working for an outside employer?",,,,✓,,
se10b,SE 10.2 Tractor,,✓,,,,
se10b,SE10b. How many people do his or her business employ?,,,✓,,,
se10b,se10b How many people does his or her business employ?,,,,✓,,
se10c,SE 10.3 Color or B/W Television,,✓,,,,
se10c,SE10c. What is his or her job title and job description?<The code number of ISCO>,,,✓,,,
se10c,se10c What is his/her job title (ISCO code),,,,✓,,
se10c_2,se10c_2 What is his/her job title (EGP class),,,,✓,,
se10c_3,se10c_3 Extended application. Elite vs. Mass,,,,✓,,
se10c_4,se10c_4 Extended applicable. White vs. blue collar,,,,✓,,
se10d,SE 10.4 Cable Television,,✓,,,,
se10d,SE10d. Is he or she currently seeking employment?,,,✓,,,
se10d,se10d Is he or she currently seeking employment?,,,,✓,,
se10e,SE 10.5 Scooter/Motorcycle/Moped,,✓,,,,
se10e,SE10e. What is his or her current status?,,,✓,,,
se10e,se10e What is his or her current status?,,,,✓,,
se10f,SE 10.6 Telephone,,✓,,,,
se10g,SE 10.7 Mobile Phone,,✓,,,,
se10h,SE 10.8 Electric Fan/Cooler,,✓,,,,
se10i,SE 10.9 Bicycle,,✓,,,,
se10j,SE 10.10 Radio/Transistor,,✓,,,,
se10k,SE 10.11 Pumping Set,,✓,,,,
se10l,SE 10.12 Fridge,,✓,,,,
se10m,SE 10.13 Camera,,✓,,,,
se10n,SE 10.14 Goats/Sheep,,✓,,,,
se10o,SE 10.15 Cows/Buffalo,,✓,,,,
se11,What language do you speak the most in the Home?,,✓,,,,
se11,SE11. LANGUAGE: What language do you speak the most in the home?,,,✓,,,
se11,se11 What language do you speak the most in the home?,,,,✓,,
se11a,se11a What is your racial or ethnic background,,,,✓,,
se12,SE12. SUBJECTIVE SOCIAL STATUS,,,✓,,,
se12,se12 Where would you place your family on the following scale? -10 scales,,,,✓,,
se12a,Main Occupation,,✓,,,,
se12a,se12 Where would you place your family on the following scale? -5 scales,,,,✓,,
se12b,Respondent is also the chief wage earner?,,✓,,,,
se13,Subjective Social Status,,✓,,,,
se13,SE13. HOUSEHOLD INCOME,,,✓,,,
se13a,SE13a. Does the total income of your household allow you to satisfactorily cover your needs?,,,✓,,,
se13a,se13a Where would you put yourself on this staircase?,,,,✓,,
se13b,se13b Where would you put your parents on this staircase?,,,,✓,,
se13c,se13c Where would you put your children on this staircase?,,,,✓,,
se14,se14 Annual or monthly household income,,,,✓,,
se14a,SE14a. Car/Jeep/Van,,,✓,,,
se14a,se14a Does the total income of your household allow you to satisfactorily cover your needs?,,,,✓,,
se14b,SE14b. Tractor,,,✓,,,
se14c,SE14c. Television,,,✓,,,
se14d,SE14d. Cable Television,,,✓,,,
se14e,SE14e. Motorcycle,,,✓,,,
se14f,SE14f. Telephone,,,✓,,,
se14g,SE14g. Mobile Phone,,,✓,,,
se14h,SE14h. Electric Fan,,,✓,,,
se14i,SE14i. Bicycle,,,✓,,,
se14j,SE14j. Radio,,,✓,,,
se14k,SE14k. Pumping Set,,,✓,,,
se14l,SE14l. Fridge,,,✓,,,
se14m,SE14m. Camera,,,✓,,,
se14n,SE14n. Goats/Sheep,,,✓,,,
se14o,SE14o. Cow/Buffalo,,,✓,,,
se15a,se15a Do your family own the following? Car/Jeep,,,,✓,,
se15a_1,se15a_1 How many?,,,,✓,,
se15a_1,Se15a_1 How many?,,,,,✓,
se15b,se15b Tractor,,,,✓,,
se15c,se15c Color or B/W television,,,,✓,,
se15d,se15d Cable TV,,,,✓,,
se15e,se15e Scooter/motorcycle/moped,,,,✓,,
se15f,se15f Telephone,,,,✓,,
se15g,se15g Mobile phone,,,,✓,,
se15h,se15h Electric fan/cooler,,,,✓,,
se15i,se15i Bicycle,,,,✓,,
se15j,se15j Radio/transistor,,,,✓,,
se15k,se15k pumping set,,,,✓,,
se15l,se15l Fridge,,,,✓,,
se15m,se15m Camera,,,,✓,,
se15n,se15n Goats/sheep,,,,✓,,
se15n_1,se15n_1 How many,,,,✓,,
se15n_1,Se15n_1 How many?,,,,,✓,
se15o,se15o Cows/Buffalo,,,,✓,,
se15o_1,se15o_1 How many?,,,,✓,,
se15o_1,Se15o_1 How many?,,,,,✓,
se2,Gender,,✓,,,,
se2,SE2. GENDER,,,✓,,,
se2,se2 Gender,,,,✓,,
se3,SE3. BIRTH YEAR,,,✓,,,
se3_1,se3_1 Birth year,,,,✓,,
se3_2,se3_2 Actual age,,,,✓,,
se3a,Age,,✓,,,,
se3a,SE3a.ACTUAL AGE,,,✓,,,
se3a_1a,age group,,,✓,,,
se4,Marital Status,,✓,,,,
se4,SE4. MARITAL STATUS,,,✓,,,
se4,se4 Marital Status,,,,✓,,
se5,Education,,✓,,,,
se5,SE5. EDUCATION,,,✓,,,
se5,se5 Education,,,,✓,,
se5a,Years of formal education,,✓,,,,
se5a,SE5a. How many years of formal education you have received?,,,✓,,,
se5a,se5a How many year of formal education have you received,,,,✓,,
se6,Religion,,✓,,,,
se6,SE6. RELIGION,,,✓,,,
se6,se6 Religion,,,,✓,,
se7,Religiosity,,✓,,,,
se7,SE7. RELIGIOSITY: About how often do you practice religious services or rituals these days?,,,✓,,,
se7,se7 Religiosity,,,,✓,,
se7a,Would you describe yourself as very religious?,,✓,,,,
se7a,"SE7a. Would you describe yourself as very religious, moderately religious, lightly religious, not religious at all?",,,✓,,,
se7a,"se7a Would you describe yourself as very religious, moderately religious, lightly religious, not religious at all?",,,,✓,,
se8a,How many people live in this household?,,✓,,,,
se8a,SE8a. How many people live in this household?,,,✓,,,
se8a,se8a How many people live in this household?,,,,✓,,
se8b,How many generations of family members live in this household?,,✓,,,,
se8b,SE8b. How many generations of family members live in this household?,,,✓,,,
se8b,se8b How many generations of family members live in this household?,,,,✓,,
se8c,"Actual count(INCLUDE servants, transients/boarders)",,,✓,,,
se8c,"se8c INCLUDE servants, transients/boarders",,,,✓,,
se8d,"Actual count(EXCLUDE servants, transients/boarders)",,,✓,,,
se8d,"se8d EXCLUDE servants, transients/boarders",,,,✓,,
se9,Monthly Household Income,,✓,,,,
se9,SE9. Are you currently employed?(respondent),,,✓,,,
se9,se9 Are you current employed?,,,,✓,,
se9a,Does the total income of your household allow you to satisfactorily cover your needs?,,✓,,,,
se9a,"SE9a. Are you currently self-employed (including business owners), working in a family business, or working for an outside emp",,,✓,,,
se9a,"se9a Are you current self-employed, working in a family business or an outside employer?",,,,✓,,
se9b,SE9b. How many people does your business employ?,,,✓,,,
se9b,se9b How many people does your business employ?,,,,✓,,
se9c,SE9c. What is your job title and job description?<The code number of ISCO>,,,✓,,,
se9c,se9c What is your job title (ISCO code),,,,✓,,
se9c_2,se9c_2 What is your job title (EGP class),,,,✓,,
se9c_3,se9c_3 Extended application. Elite vs. Mass,,,,✓,,
se9c_4,se9c_4 Extended applicable. White vs. blue collar,,,,✓,,
se9d,SE9d. Are you currently seeking employment?,,,✓,,,
se9d,se9d Are you currently seeking employment?,,,,✓,,
se9e,SE9e. What is your current status?,,,✓,,,
se9e,se9e What is your current status?,,,,✓,,
w,Individual country weight,,,,✓,,
w,Weight factor,,,,,✓,
w_all,NA,✓,✓,,,,
w_cn,NA,✓,,,,,
w_cross,cross 'Cross-country weight',,,,✓,,
w_hk,weight for age (recommended),✓,,,,,
w_jp,weight,✓,,,,,
w_kr,weight,✓,,,,,
w_mo,"weight for sex, age, region",✓,,,,,
w_ph,weight,✓,,,,,
w_th,weight,✓,,,,,
w_tw,weight,✓,,,,,
year,Interview year,,,,✓,,
yrsurvey,survey year,✓,,,,,
